CandidateID,Source,JobRole,ExperienceYears,ScreeningScore,InterviewRounds,OfferStatus,JoinedStatus,SalaryExpected,SalaryOffered,ApplicationDate,CostPerSource
C100074,Indeed,Frontend Developer,0.0,88,2,Rejected,Did Not Join,293806,1166602,2024-01-27,994
C100075,Indeed,Business Analyst,0.4,35,1,Offered,Did Not Join,1644551,1555948,2023-09-01,15342
C100076,Referral,Backend Developer,1.7,63,2,Rejected,Did Not Join,702490,1429688,2023-01-25,8606
C100077,Naukri,HR Executive,2.5,51,1,Rejected,Did Not Join,1404964,1465937,2023-11-05,6815
C100078,Naukri,Business Analyst,5.0,20,3,Offered,Did Not Join,638696,943748,2023-12-10,19699
C100079,Naukri,Frontend Developer,2.4,46,1,Offered,Joined,213332,1457539,2023-11-24,11829
C100080,Campus,Data Analyst,2.2,20,2,Rejected,Joined,406511,585847,2024-05-15,15038
C100081,Indeed,Business Analyst,1.0,36,3,Rejected,Did Not Join,1428855,917221,2023-04-03,1279
C100082,Naukri,Business Analyst,0.0,92,1,Offered,Did Not Join,1219170,1644910,2023-07-16,7948
C100083,Naukri,Marketing Associate,0.3,43,1,Rejected,Did Not Join,1685611,882134,2023-01-10,7605
C100084,Naukri,Product Analyst,1.5,47,2,Rejected,Did Not Join,913510,1026945,2024-07-20,18778
C100085,Naukri,Backend Developer,2.2,70,1,Offered,Did Not Join,253902,1588067,2024-09-02,9319
C100086,Indeed,HR Executive,1.1,96,1,Rejected,Did Not Join,995630,760429,2024-05-04,7861
C100087,Indeed,HR Executive,2.6,62,4,Offered,Did Not Join,1614027,1502012,2023-08-16,572
C100088,Campus,Sales Executive,1.5,74,3,Offered,Joined,608948,765553,2023-10-16,7134
C100089,LinkedIn,Data Analyst,0.2,12,3,Offered,Joined,1879073,1388531,2024-04-03,16962
C100090,Naukri,Sales Executive,0.4,76,3,Rejected,Joined,548167,1118671,2023-12-18,11442
C100091,Indeed,Frontend Developer,3.7,37,1,Rejected,Did Not Join,1172923,1437064,2024-09-11,14521
C100092,Referral,Data Analyst,2.6,23,1,Offered,Joined,594997,1201407,2023-12-14,3315
C100093,LinkedIn,Business Analyst,4.5,61,1,Rejected,Did Not Join,428162,1228647,2024-11-29,15168
C100094,Referral,Product Analyst,0.3,39,3,Rejected,Did Not Join,392349,1206157,2024-02-10,9561
C100095,LinkedIn,Business Analyst,9.3,67,2,Offered,Did Not Join,309660,1483664,2024-08-03,13647
C100096,LinkedIn,HR Executive,0.5,63,1,Rejected,Did Not Join,1960640,840876,2023-11-06,8596
C100097,LinkedIn,Frontend Developer,0.0,78,2,Rejected,Did Not Join,493629,1437703,2023-02-16,4418
C100098,Naukri,Backend Developer,11.9,24,2,Rejected,Joined,1302927,225037,2023-06-23,7488
C100099,Naukri,Frontend Developer,0.7,47,2,Rejected,Joined,711273,974666,2023-05-15,5060
C100100,Naukri,Business Analyst,2.2,87,3,Rejected,Joined,226654,1364008,2024-04-19,8427
C100101,Indeed,Backend Developer,0.4,23,2,Rejected,Joined,1412793,542279,2024-10-21,18339
C100102,Naukri,Frontend Developer,1.7,66,3,Offered,Did Not Join,775817,1572685,2023-01-26,5872
C100103,LinkedIn,Product Analyst,4.7,68,2,Rejected,Did Not Join,828637,1580814,2023-02-25,16978
C100104,Campus,Product Analyst,0.8,17,2,Rejected,Did Not Join,901738,1530880,2024-09-18,19809
C100105,Naukri,Frontend Developer,2.2,81,3,Offered,Did Not Join,1527385,1480407,2023-02-02,6643
C100106,LinkedIn,Backend Developer,0.4,28,3,Rejected,Did Not Join,1982398,263595,2024-08-09,9062
C100107,Referral,Business Analyst,2.0,41,1,Rejected,Joined,940199,1596292,2023-05-12,7327
C100108,Naukri,Frontend Developer,0.8,38,1,Rejected,Joined,1820666,710669,2023-08-17,2122
C100109,Naukri,Backend Developer,0.5,50,2,Offered,Did Not Join,1326468,1382776,2023-05-12,3205
C100110,Naukri,Marketing Associate,0.8,84,2,Rejected,Did Not Join,1809226,418837,2023-05-24,9933
C100111,Naukri,Product Analyst,0.4,54,2,Rejected,Did Not Join,1692782,405167,2024-07-14,9054
C100112,Agency,Marketing Associate,4.6,22,3,Offered,Did Not Join,902486,1104338,2023-07-30,9100
C100113,Referral,Business Analyst,1.0,36,1,Offered,Joined,671376,929435,2023-05-19,11986
C100114,Indeed,Backend Developer,0.6,28,2,Rejected,Did Not Join,817292,1411823,2023-03-15,3787
C100115,Campus,Marketing Associate,1.2,35,1,Offered,Joined,1607184,1444358,2024-06-25,17195
C100116,Referral,Backend Developer,0.8,62,3,Offered,Did Not Join,1207830,1551234,2023-12-26,7400
C100117,Naukri,Frontend Developer,2.7,60,4,Rejected,Did Not Join,1662906,209398,2024-02-20,10252
C100118,Campus,Business Analyst,7.1,46,2,Rejected,Did Not Join,425702,1120231,2023-11-11,8722
C100119,LinkedIn,Marketing Associate,1.2,18,1,Rejected,Joined,1250696,1590036,2023-08-08,16407
C100120,Referral,Sales Executive,3.9,61,3,Rejected,Did Not Join,572433,1227807,2023-06-02,13916
C100121,Campus,Frontend Developer,1.7,63,2,Rejected,Joined,694390,790797,2023-01-22,5603
C100122,Naukri,Product Analyst,0.3,12,2,Rejected,Did Not Join,1305501,363731,2023-07-01,8726
C100123,Naukri,Sales Executive,2.3,78,3,Offered,Did Not Join,528617,1462754,2023-05-10,10063
C100124,Naukri,Sales Executive,1.4,17,4,Rejected,Did Not Join,721963,966299,2024-03-14,19234
C100125,LinkedIn,Data Analyst,2.1,23,2,Rejected,Did Not Join,832473,1214263,2023-05-15,11990
C100126,Referral,Data Analyst,4.4,12,2,Rejected,Joined,1016401,1760394,2023-02-19,4811
C100127,Campus,Business Analyst,1.2,33,1,Rejected,Joined,1051668,1566453,2023-07-30,19962
C100128,Naukri,Marketing Associate,4.6,22,2,Offered,Joined,1225256,604725,2024-02-10,12204
C100129,LinkedIn,Marketing Associate,2.8,52,2,Rejected,Joined,301416,340481,2024-12-25,16308
C100130,LinkedIn,Marketing Associate,1.3,38,1,Rejected,Did Not Join,1002729,431107,2023-04-18,11662
C100131,Naukri,Backend Developer,1.8,81,1,Rejected,Joined,1878605,1574815,2023-12-19,13088
C100132,Naukri,Frontend Developer,0.8,60,1,Rejected,Did Not Join,663286,1536318,2024-07-31,7802
C100133,Naukri,Marketing Associate,8.2,51,1,Offered,Did Not Join,1389177,355161,2023-12-03,5400
C100134,Agency,Frontend Developer,2.2,40,2,Offered,Did Not Join,877373,1017956,2023-11-07,9498
C100135,Naukri,Business Analyst,0.1,72,2,Offered,Did Not Join,230089,891314,2024-09-09,19327
C100136,LinkedIn,Sales Executive,0.8,35,2,Rejected,Did Not Join,1516891,414601,2024-08-07,6008
C100137,Indeed,Marketing Associate,2.0,27,2,Offered,Did Not Join,1945165,1189076,2024-01-31,9375
C100138,Naukri,Business Analyst,0.1,91,2,Rejected,Did Not Join,369881,856865,2024-02-06,9330
C100139,Internshala,Marketing Associate,0.0,66,3,Rejected,Did Not Join,1701257,1472738,2023-04-25,8642
C100140,Agency,Data Analyst,1.2,16,2,Rejected,Did Not Join,1831888,1654350,2023-06-28,8884
C100141,Naukri,HR Executive,0.8,57,4,Offered,Did Not Join,1007585,990548,2024-10-10,5877
C100142,LinkedIn,Business Analyst,1.2,89,2,Rejected,Did Not Join,304693,1598680,2024-03-30,4559
C100143,Naukri,Marketing Associate,0.6,69,2,Rejected,Did Not Join,1408077,1043201,2024-06-25,6349
C100144,Naukri,Product Analyst,0.4,42,1,Rejected,Joined,1568473,529208,2024-07-17,11618
C100145,Naukri,HR Executive,2.3,12,2,Rejected,Joined,1124145,713538,2023-04-10,1415
C100146,Indeed,Business Analyst,1.4,13,3,Offered,Joined,1946337,1726908,2024-04-03,8878
C100147,LinkedIn,Product Analyst,0.4,13,3,Offered,Did Not Join,718354,1516267,2024-01-06,10507
C100148,Naukri,Product Analyst,0.8,51,4,Rejected,Did Not Join,1667159,501878,2023-06-29,14970
C100149,Naukri,Backend Developer,1.8,18,1,Rejected,Did Not Join,1663518,1750157,2024-05-19,4069
C100150,Campus,Product Analyst,0.1,60,2,Offered,Did Not Join,1494695,1695152,2023-03-07,3132
C100151,Naukri,Marketing Associate,0.3,26,2,Rejected,Joined,204677,1365103,2023-12-21,11639
C100152,Naukri,Backend Developer,0.2,26,2,Rejected,Did Not Join,729427,1670352,2023-02-23,12022
C100153,LinkedIn,Data Analyst,3.3,29,1,Offered,Did Not Join,1928632,991906,2023-10-17,1455
C100154,Internshala,Marketing Associate,2.8,23,3,Offered,Did Not Join,382444,1795637,2023-11-03,2876
C100155,Naukri,Sales Executive,2.8,31,3,Rejected,Did Not Join,1334625,604333,2024-03-18,11944
C100156,Indeed,Product Analyst,2.5,61,2,Offered,Did Not Join,1849557,187042,2024-09-10,18781
C100157,Referral,Data Analyst,2.2,36,1,Offered,Joined,519558,1521221,2023-11-20,16938
C100158,Naukri,HR Executive,1.3,52,1,Offered,Did Not Join,1230917,532598,2024-05-14,19930
C100159,Indeed,Business Analyst,2.1,12,2,Offered,Did Not Join,1902671,1642036,2024-03-07,7403
C100160,Naukri,Product Analyst,0.1,97,1,Rejected,Did Not Join,442631,728530,2024-03-03,2077
C100161,Indeed,Frontend Developer,1.9,17,3,Offered,Joined,695212,289847,2024-06-28,13287
C100162,Indeed,Data Analyst,3.0,95,2,Offered,Did Not Join,1761110,629887,2023-08-07,3397
C100163,LinkedIn,Frontend Developer,1.4,98,2,Rejected,Did Not Join,1060173,1706572,2023-01-29,2393
C100164,Naukri,Product Analyst,0.9,19,2,Offered,Did Not Join,728188,424932,2024-04-15,12006
C100165,Referral,Frontend Developer,0.6,38,1,Rejected,Did Not Join,1977934,410624,2024-01-07,8571
C100166,Naukri,Product Analyst,2.1,49,3,Rejected,Did Not Join,1238084,236235,2023-01-08,1820
C100167,Naukri,Business Analyst,2.4,74,2,Rejected,Did Not Join,1636724,1783630,2024-04-03,18564
C100168,Naukri,HR Executive,4.1,30,4,Rejected,Joined,697133,369624,2024-12-10,15536
C100169,LinkedIn,Business Analyst,0.8,33,2,Offered,Did Not Join,1110895,595362,2024-01-07,6210
C100170,Indeed,Marketing Associate,2.9,82,2,Rejected,Did Not Join,1539854,954438,2023-05-24,12859
C100171,Naukri,Data Analyst,1.6,69,1,Rejected,Did Not Join,1462090,1484138,2023-09-11,15662
C100172,LinkedIn,Frontend Developer,4.3,35,2,Rejected,Did Not Join,1319062,665307,2023-11-13,1104
C100173,Naukri,Business Analyst,1.5,18,3,Offered,Joined,1939543,291873,2024-04-04,13052
C100174,Indeed,Product Analyst,1.5,29,3,Offered,Joined,443709,813581,2023-10-01,19470
C100175,Naukri,Business Analyst,1.7,65,3,Rejected,Did Not Join,683025,235270,2024-11-19,18416
C100176,Indeed,Business Analyst,2.8,45,1,Rejected,Did Not Join,1190531,274516,2024-04-09,6185
C100177,LinkedIn,Data Analyst,6.7,45,4,Rejected,Did Not Join,1715342,456104,2023-12-11,18640
C100178,Agency,HR Executive,0.2,82,4,Offered,Did Not Join,1125195,1420678,2023-04-22,15616
C100179,Naukri,Sales Executive,0.1,31,1,Offered,Did Not Join,1314554,279456,2023-02-16,1484
C100180,Naukri,Business Analyst,5.5,10,3,Rejected,Did Not Join,878138,871872,2023-01-28,6808
C100181,Naukri,Data Analyst,1.5,78,1,Rejected,Did Not Join,519298,593221,2023-03-27,8094
C100182,Agency,Frontend Developer,1.9,82,2,Offered,Joined,554339,637272,2023-08-02,6141
C100183,Campus,Product Analyst,1.3,46,1,Offered,Did Not Join,1035220,1423311,2023-12-20,9980
C100184,Naukri,Marketing Associate,0.2,92,4,Rejected,Did Not Join,733701,824866,2023-06-17,1292
C100185,Indeed,Sales Executive,2.9,81,1,Rejected,Did Not Join,1362689,830527,2023-07-26,19491
C100186,Referral,Backend Developer,2.8,22,2,Rejected,Did Not Join,1718969,1549036,2023-05-10,10451
C100187,LinkedIn,Sales Executive,0.7,93,2,Rejected,Joined,723509,1346992,2023-08-27,4184
C100188,LinkedIn,Product Analyst,0.7,52,1,Rejected,Did Not Join,1554120,651977,2024-03-19,14855
C100189,Naukri,Sales Executive,3.6,46,2,Offered,Did Not Join,312683,715891,2024-06-07,15576
C100190,Naukri,Product Analyst,0.2,83,1,Rejected,Did Not Join,1209978,822042,2023-04-06,2442
C100191,Campus,Data Analyst,4.3,34,2,Rejected,Did Not Join,1818327,615467,2024-10-07,1070
C100192,Campus,Backend Developer,0.6,97,4,Rejected,Did Not Join,987326,412236,2023-09-07,16307
C100193,Indeed,Business Analyst,1.8,30,3,Rejected,Did Not Join,1358974,1228739,2024-01-20,8062
C100194,Naukri,Business Analyst,5.5,50,3,Offered,Did Not Join,890381,437871,2024-02-15,19507
C100195,Naukri,Sales Executive,2.3,82,2,Rejected,Did Not Join,426544,248998,2024-01-18,19533
C100196,Indeed,Data Analyst,1.1,51,1,Rejected,Did Not Join,427368,1737920,2024-01-30,17891
C100197,Campus,Backend Developer,2.3,51,2,Rejected,Did Not Join,1378187,1501007,2023-05-09,8543
C100198,Campus,Business Analyst,0.8,11,1,Offered,Did Not Join,550921,1676257,2023-05-22,6791
C100199,Referral,Frontend Developer,0.6,77,3,Rejected,Joined,1630401,893504,2023-10-28,14679
C100200,Indeed,HR Executive,11.4,17,1,Rejected,Did Not Join,949662,1419757,2024-11-17,17844
C100201,Naukri,HR Executive,2.8,70,3,Offered,Did Not Join,941915,1234803,2023-07-03,14537
C100202,Naukri,Business Analyst,2.1,23,1,Offered,Did Not Join,460154,230842,2024-05-21,1596
C100203,Campus,Backend Developer,0.9,86,3,Rejected,Joined,682944,1785865,2023-12-17,12426
C100204,Indeed,Marketing Associate,0.1,30,1,Rejected,Did Not Join,1736508,1132148,2024-02-21,3685
C100205,Naukri,Business Analyst,0.1,33,1,Offered,Did Not Join,243520,352993,2024-01-05,4060
C100206,Naukri,Marketing Associate,1.6,59,2,Rejected,Did Not Join,702558,490095,2024-01-07,17344
C100207,Indeed,Marketing Associate,2.9,91,1,Rejected,Did Not Join,229899,1193906,2024-06-19,1590
C100208,Naukri,Product Analyst,1.5,54,2,Rejected,Did Not Join,378874,815785,2023-08-03,2735
C100209,Naukri,Product Analyst,3.7,73,2,Offered,Did Not Join,956598,1708821,2023-07-13,18565
C100210,LinkedIn,Backend Developer,0.1,73,1,Rejected,Joined,1765142,1540917,2023-04-17,9062
C100211,Indeed,Marketing Associate,0.9,35,3,Offered,Did Not Join,802395,867297,2024-02-04,17630
C100212,Indeed,Frontend Developer,0.5,41,2,Offered,Joined,593587,446625,2024-10-09,1887
C100213,Naukri,Backend Developer,1.2,66,2,Rejected,Did Not Join,1803057,217227,2024-10-01,12584
C100214,Indeed,Business Analyst,0.2,62,2,Rejected,Did Not Join,1178251,677937,2023-11-22,5531
C100215,Naukri,Sales Executive,6.2,42,2,Rejected,Did Not Join,411994,1770655,2023-12-28,12078
C100216,Naukri,Frontend Developer,0.5,61,1,Offered,Joined,1353878,1621999,2023-07-25,1850
C100217,Indeed,Data Analyst,5.1,27,1,Rejected,Did Not Join,476608,348210,2024-12-12,4128
C100218,Indeed,HR Executive,1.1,44,2,Rejected,Joined,545467,1579790,2023-07-12,13532
C100219,Referral,Business Analyst,8.5,21,2,Rejected,Did Not Join,1466170,321016,2023-12-27,9133
C100220,Indeed,Business Analyst,1.6,60,2,Rejected,Did Not Join,1035457,1564943,2024-10-02,609
C100221,LinkedIn,Business Analyst,5.3,98,2,Offered,Did Not Join,1080619,1376933,2023-02-09,6165
C100222,Naukri,Frontend Developer,0.0,19,2,Offered,Joined,1098142,933178,2024-04-18,13339
C100223,Naukri,Data Analyst,2.8,61,1,Offered,Did Not Join,1466241,731070,2023-11-07,732
C100224,Naukri,Sales Executive,4.7,43,1,Rejected,Joined,1671664,1710795,2023-11-09,18675
C100225,Naukri,Backend Developer,0.3,76,2,Offered,Did Not Join,800536,263669,2023-03-07,3979
C100226,Internshala,Product Analyst,0.2,48,1,Offered,Did Not Join,1706789,1679595,2024-06-23,4350
C100227,LinkedIn,Data Analyst,1.1,17,1,Rejected,Did Not Join,545071,708777,2023-01-16,10484
C100228,Campus,Frontend Developer,5.4,38,1,Offered,Joined,347397,1368756,2024-09-19,4733
C100229,Indeed,Business Analyst,1.6,31,4,Offered,Did Not Join,1708774,768718,2023-03-21,11568
C100230,Referral,HR Executive,1.5,93,2,Rejected,Did Not Join,1264466,1038550,2024-01-20,3441
C100231,LinkedIn,Business Analyst,0.3,79,1,Offered,Joined,881843,785562,2023-03-21,5448
C100232,LinkedIn,Backend Developer,0.0,70,1,Rejected,Did Not Join,1996415,319102,2023-03-29,6309
C100233,LinkedIn,Marketing Associate,3.3,52,2,Rejected,Did Not Join,1996153,201118,2024-01-21,13472
C100234,Naukri,HR Executive,0.2,58,2,Offered,Did Not Join,977294,509874,2024-06-26,9091
C100235,Indeed,Business Analyst,2.0,38,3,Rejected,Did Not Join,503144,602655,2024-07-09,16992
C100236,Naukri,Sales Executive,4.9,90,3,Rejected,Did Not Join,1916961,812941,2024-12-26,6065
C100237,Naukri,HR Executive,0.5,40,2,Rejected,Did Not Join,1369156,680105,2024-01-25,17728
C100238,Indeed,Marketing Associate,2.2,62,1,Rejected,Did Not Join,754228,486736,2023-10-02,4018
C100239,Naukri,Product Analyst,0.2,43,3,Rejected,Did Not Join,846166,1405909,2023-04-14,17963
C100240,Agency,Data Analyst,1.9,47,4,Offered,Did Not Join,843780,1799516,2023-10-05,11676
C100241,Agency,Frontend Developer,0.4,66,2,Rejected,Did Not Join,1992235,577754,2024-07-26,8976
C100242,Campus,Product Analyst,2.7,13,2,Rejected,Joined,282697,593658,2024-12-23,9964
C100243,Naukri,Business Analyst,0.7,11,1,Rejected,Did Not Join,1290371,1102346,2023-02-11,13990
C100244,Naukri,Backend Developer,1.2,21,2,Rejected,Joined,984523,1341969,2024-02-19,12033
C100245,Agency,Data Analyst,1.8,44,2,Offered,Joined,290990,271978,2024-03-15,13152
C100246,LinkedIn,Product Analyst,0.4,79,3,Rejected,Did Not Join,958153,1137842,2023-04-27,10194
C100247,Agency,Business Analyst,2.7,81,2,Rejected,Joined,1523835,1270040,2024-03-18,17213
C100248,Agency,Data Analyst,0.7,30,3,Rejected,Did Not Join,632254,972205,2024-08-26,18834
C100249,Campus,Product Analyst,2.2,70,1,Offered,Did Not Join,256433,669493,2024-05-22,15044
C100250,Naukri,Backend Developer,0.3,44,1,Rejected,Did Not Join,1295575,293680,2024-02-18,7749
C100251,LinkedIn,Business Analyst,2.3,57,2,Rejected,Did Not Join,274564,1155722,2024-07-10,13367
C100252,Campus,Marketing Associate,0.3,24,1,Offered,Did Not Join,1683276,215646,2024-09-26,3475
C100253,Naukri,Marketing Associate,1.1,80,2,Offered,Joined,1618467,418201,2024-11-23,13386
C100254,Naukri,Backend Developer,0.6,24,1,Offered,Did Not Join,1125192,1142841,2023-12-19,859
C100255,LinkedIn,HR Executive,2.8,15,3,Rejected,Did Not Join,957905,1244162,2024-07-11,3323
C100256,Agency,Backend Developer,0.6,90,3,Rejected,Did Not Join,1501666,1476756,2023-05-19,8772
C100257,Indeed,HR Executive,4.3,77,2,Rejected,Did Not Join,1486878,1475660,2023-06-08,1655
C100258,LinkedIn,Business Analyst,4.4,31,1,Offered,Did Not Join,485399,1704720,2023-04-21,8843
C100259,Naukri,Product Analyst,0.4,41,2,Rejected,Did Not Join,804035,1483667,2023-05-27,17798
C100260,Indeed,HR Executive,1.9,31,4,Rejected,Did Not Join,1723880,1010612,2023-10-08,2424
C100261,Internshala,Business Analyst,0.2,36,2,Rejected,Did Not Join,639833,557235,2023-11-17,6581
C100262,Naukri,Business Analyst,1.0,24,1,Offered,Joined,634475,1617353,2024-06-29,2447
C100263,LinkedIn,Sales Executive,2.5,53,1,Offered,Did Not Join,277049,1185657,2024-09-16,11106
C100264,Campus,Frontend Developer,2.2,95,1,Rejected,Did Not Join,1188073,1548759,2024-09-13,10301
